text,font_size,x0,bold,distance_above,line_height,line_len,first_caps,all_caps,is_ending_with_fullstop,page_number,label
incentive points must be achieved through the institute-level preparatory activity to avail the,-0.23011388,-0.313718673,0,0.108497546,-0.227061382,0.936261241,0,0,1,3,0
10. Remedies,3.269082442,-0.622735371,1,0.429076688,2.985235602,-1.447500153,0,0,1,6,1
Pre-Placement Interviews shall be applicable only for the firms where the student has,-0.23011388,-0.306309117,0,-0.005166812,-0.227061382,0.932609268,1,0,1,7,0
"withdrawal, refrain from either directly or indirectly soliciting or attempting to solicit",-0.279512625,-0.622735371,0,0.155289991,-0.177454604,0.904138774,0,0,1,7,0
blade waste is diffcult to dispose.,0.28238359,-0.241956259,0,0.055979489,-0.089929417,-0.855879716,0,0,0,2,0
bamboo wind turbine blade,-1.917333616,3.508110402,0,-6.284826544,-1.341848949,-1.070039224,0,0,1,2,0
4. Mathematical Aspect,0.750362812,-0.447606045,1,0.207941573,0.176398076,-0.937100012,0,0,1,4,1
Eligible students should express interest to the Placement office before the placement,-0.23011388,-0.372995123,0,-0.005166812,-0.227061382,0.969426099,1,0,1,11,0
"Sponsored (excluding Self-Financed), external, and QIP postgraduate students are not eligible.",-0.23011388,-0.32112823,0,0.108497546,-0.227061382,0.978277603,1,0,0,2,0
Deferred Placement Policy for Higher Studies,3.268309168,0.28241534,0,0.117428528,3.266281723,0.404560207,1,0,1,12,1
5. Obligations of the Intern,3.269082442,-0.622735371,1,0.429069063,2.985235602,-0.885740458,0,0,1,4,1
A critical part of evaluating bamboo-based composites involves predicting the effective elastic modulus of a laminated bamboo beam. By,0.248619477,-0.323103965,0,0.064509592,-0.089945735,1.025831262,1,0,1,4,0
"d.â€‹ Any violation (including proxy attendance) will be addressed in the same manner as in PPTs,",-0.23011388,-0.498957579,0,0.209470708,-0.227061382,1.045139854,0,0,1,8,0
Subsidiary (being a holding company of the,-0.279512625,1.959707323,0,0.15528872,-0.177454604,-0.47069414,1,0,1,2,0
"JAFs, and the student will be deregistered from further placement processes, including",-0.23011388,-0.298899561,0,0.107971498,-0.227061382,0.928947075,1,0,1,4,0
"Students deferring their placements, if sitting for Placements in 2026-27 or 2027-28, shall not",-0.23011388,-0.372995123,0,-0.005166812,-0.227061382,0.972553289,1,0,1,11,0
"maturing business opportunities, marketing",-0.279512625,1.959707323,0,0.15528745,-0.177454604,-0.471587317,0,0,1,2,0
student and would override the Placement Policy of 2025-26.,-0.23011388,-0.372995123,0,0.108504234,-0.227061382,0.092703719,0,0,0,11,0
27 points,-0.23011388,2.297803481,0,-0.005166812,-0.227061382,-1.229244744,0,0,1,4,0
IDC Placement Policy,3.268309168,1.108148214,0,0.117425046,3.266281723,-0.535033052,1,0,1,14,1
14. Non-Assignment,3.269082442,-0.622735371,1,0.340588038,2.985235602,-1.188637299,0,0,1,8,1
Designation: Intern â€‹,-0.279512625,-0.622735371,0,0.220946139,-0.177454604,-1.329836479,1,0,1,10,0
Company.,-0.279512625,-0.622735371,0,0.15528745,-0.177454604,-1.707229183,1,0,0,3,0
(without limitation) relates to the business,-0.279512625,1.959707323,0,0.15528872,-0.177454604,-0.469334957,0,0,1,2,0
â€‹,-0.279512625,1.68130272,0,-0.004339283,-1.13971703,-2.08158112,0,0,1,10,0
18. Severability,3.269082442,-0.622735371,1,0.324668316,2.985235602,-1.400900507,0,0,1,9,1
Placement Cell â€“ IIT Bombay,4.434450184,0.720807753,0,0.123304919,4.430729425,-0.104696104,1,0,1,14,1
Placement Cell â€“ IIT Bombay,4.434450184,0.720807753,0,0.117830518,4.430729425,-0.104696104,1,0,1,13,1
"organization, he/she will become ineligible for the job offers by the lower-category organization.",-0.23011388,-0.47672891,0,0.107977906,-0.227061382,0.961084926,0,0,0,14,0
Deferred Placement Policy for Social Fellowship,3.268309168,0.190242855,0,0.117428528,3.266281723,0.537969717,1,0,1,13,1
"InternÂ and the employer have the duty ofÂ mutual confidenceÂ and trust, and to make",-0.279512625,-0.622735371,0,0.155288085,-0.177454604,0.907944486,1,0,1,1,0
j.â€‹,-0.23011388,-0.498957579,0,-6.934084346,-0.227061382,-1.434650659,0,0,1,3,0
Why Bamboo is Better Alternative for Wind Blade,0.750362812,-0.447606045,1,0.165314727,0.176410315,-0.379430916,1,0,1,2,1
student will be allowed to sign JAFs as per normal policy until a decision regarding the grant,-0.23011388,-0.32112823,0,0.107973727,-0.227061382,0.942490599,0,0,1,6,0
10.â€‹,1.519097644,-0.728653822,0,0.371990284,1.519610171,-1.354373788,0,0,1,8,1
Self-Financed Placement Policy,1.519097644,-0.372995123,0,-0.035766783,1.519610171,-0.362362636,1,0,1,8,1
paragraph 5 or 8 and agrees that the Company shall be entitled to an injunction,-0.279512625,-0.622735371,0,0.155289991,-0.177454604,0.904410611,0,0,1,7,0
"Students deferring their placements to 2026-27, if sitting for Placements in 2025-26, shall not",-0.23011388,-0.387814236,0,-0.005166812,-0.227061382,0.973699421,1,0,1,12,0
because of backlogs/other constraints might be considered on a case-by-case basis. Students,-0.23011388,-0.32112823,0,0.107971498,-0.227061382,0.944024061,0,0,1,2,0
installation.,0.28238359,-0.447606045,0,0.055987562,-0.089929417,-1.236599448,0,0,0,5,0
12.â€‹,1.519097644,-0.728653822,0,0.200424513,1.519610171,-1.354373788,0,0,1,8,1
No.,-0.23011388,-0.534918016,0,0.105764491,-0.227061382,-1.373688412,1,0,0,9,0
Name: Mr. Pranav Rajâ€‹    â€‹,-0.279512625,-0.622735371,0,0.220580169,-0.177454604,-1.067630682,1,0,1,10,0
"Natural fiber like bamboo have high strengh to weight, good stiffness, low cost, and also heat insulasion. But sometime bamboo absorb",0.299215022,-0.323103965,0,0.064502252,-0.089945735,1.024359756,1,0,1,4,0
These students must submit a complete timeline of their education profile and a declaration that they,-0.23011388,-0.65455826,0,0.16507729,-0.227061382,1.116126345,1,0,1,15,0
11.â€‹,1.519097644,-0.728653822,0,0.371987637,1.519610171,-1.359945099,0,0,1,8,1
Placement Policy - IDC,1.519097644,-0.372995123,0,-0.035766783,1.519610171,-0.645484864,1,0,1,8,1
the date of mailing. Either party may change its address for notice at any,-0.279512625,0.106876691,0,0.133997616,-0.177454604,0.526635434,0,0,1,8,0
ANNEXURE - 3,4.434450184,1.249693773,0,-6.34039151,4.430729425,-0.72294751,1,1,1,13,1
responsible for any illegal acts committed at the discretion of the Intern.,-0.279512625,-0.161927753,0,0.133997616,-0.177454604,0.447025948,0,0,0,4,0
4.â€‹ JAF Signing Details (Job Announcement Forms),1.519097644,-0.65455826,0,0.198330629,1.519610171,0.242372735,0,0,1,3,1
Eq. (1).,0.28238359,-0.241956259,0,0.055979489,-0.089929417,-1.323643455,1,0,0,3,0
"2.â€‹ Eligibility Criteria for B. Tech, B.S., B.Des, Dual Degree, M.Tech, M.Sc., M.",1.519097644,-0.65455826,0,0.254046348,1.519610171,1.10544956,0,0,0,2,1
3. Performance of Duties,3.269082442,-0.622735371,1,0.429069063,2.985235602,-0.952149082,0,0,1,3,1
2025,-0.23011388,-0.387814236,0,0.106658606,-0.227061382,-1.3190676,0,0,0,12,0
15.â€‹,1.519097644,-0.65455826,0,0.235490324,1.519610171,-1.354373788,0,0,1,10,1
expected date of return to work.,-0.279512625,-0.161927753,0,0.133997616,-0.177454604,-0.963572893,0,0,0,5,0
in connection with this Agreement shall be binding only if evidenced in writing,-0.279512625,-0.622735371,0,0.155289991,-0.177454604,0.905459123,0,0,1,9,0
"the same, with a copy of their communication to the organization. If the PPO is accepted, the",-0.23011388,-0.32112823,0,0.107973727,-0.227061382,0.94441703,0,0,1,6,0
TD-639| Report,-0.138901288,-0.449962551,1,0.040405597,-0.329695144,-1.160610829,1,0,1,1,1
Each paragraph of this agreement shall be and remain separate from and,-0.279512625,-0.622735371,0,0.303375941,-0.177454604,0.906235799,1,0,1,9,0
17. Modification,3.269082442,-0.622735371,1,0.32465815,2.985235602,-1.368810947,0,0,1,9,1
16. Indemnification,3.269082442,-0.622735371,1,0.361885496,2.985235602,-1.209665901,0,0,1,8,1
2. Eco friendly nature of bamboo composite for wind mill blade,0.750362812,-0.447605909,1,0.252512433,0.176398076,-0.072936078,0,0,1,3,1
BY AND BETWEEN,-0.279512625,1.497500853,1,0.450361438,-0.177454604,-1.288212312,1,1,1,1,1
Responsibility of the student,1.519097644,-0.298899561,0,-0.035766783,1.519610171,-0.520093341,1,0,1,10,1
ANNEXURE - 1,4.434450184,1.249693773,0,-6.727875233,4.430729425,-0.72294751,1,1,1,11,1
Withdrawal of Placement Offer by the company,1.519097644,-0.298899561,0,-0.035766783,1.519610171,0.108217906,1,0,1,10,1
11. Amendment and Termination,3.269082442,-0.622735371,1,0.361880413,2.985235602,-0.580278261,0,0,1,7,1
they will not be allowed to participate in the Placement Season.,-0.23011388,-0.65455826,0,0.108486401,-0.227061382,0.166461791,0,0,0,15,0
opportunity. If the student accepts the Pre-Placement Interview and secures an offer through,-0.23011388,-0.306309117,0,0.107973727,-0.227061382,0.931628783,0,0,1,7,0
12. Restrictive Covenant,3.269082442,-0.622735371,1,0.429071605,2.985235602,-0.990631352,0,0,1,7,1
"removal from further signed JAFs. The student must accept the higher-category job, and both",-0.23011388,-0.298899561,0,0.107971498,-0.227061382,0.930081929,0,0,1,4,0
c.â€‹ A student can earn a maximum of 24 incentive points from institute-level activities and an,-0.23011388,-0.491548023,0,0.261078346,-0.227061382,1.041850541,0,0,1,3,0
"Des., M.P.P, MS by Research, and MA by Research Students",1.519097644,-0.491548023,0,0.160910975,1.519610171,0.578191019,1,0,1,2,1
6. Leave Policy,3.269082442,-0.622735371,1,0.429071605,2.985235602,-1.424662948,0,0,1,4,1
20 LPA â‰¥ C2 > 16.75 LPA,-0.23011388,0.056759138,0,0.15270122,-0.227061382,-0.809840276,0,1,1,3,0
4. Compensation,3.269082442,-0.622735371,1,0.324665774,2.985235602,-1.329992016,0,0,1,3,1
21. Counterparts,3.269082442,-0.622735371,1,0.324663233,2.985235602,-1.296051682,0,0,1,9,1
apply directly to any organization must contact the Department Placement Coordinator of,-0.23011388,-0.32112823,0,0.108499775,-0.227061382,0.943416809,0,0,1,5,0
INTERNSHIP AGREEMENT,6.81767751,0.979222949,1,1.462084551,6.147925808,-0.751509315,1,1,1,1,1
terminate all of its obligations to make further payments under this Agreement. The,-0.279512625,-0.622735371,0,0.155284908,-0.177454604,0.905847461,0,0,1,6,0
2,-0.23011388,3.193304852,0,-0.005166812,-0.227061382,-1.431409718,0,0,1,9,0
3.â€‹ Categorization of Job Offers,1.519097644,-0.65455826,0,0.282002076,1.519610171,-0.421761816,0,0,1,3,1
4.3 Bonus Opportunity JAFs,0.352956628,-0.83238761,0,0.360109753,0.355162469,-0.456475026,0,0,1,4,1
Deferred Placement Policy - Social Fellowship,1.519097644,-0.372995123,0,-0.035766783,1.519610171,0.117855349,1,0,1,8,1
9. Confidentiality,3.269082442,-0.622735371,1,0.450363979,2.985235602,-1.265265684,0,0,1,6,1
8.â€‹ Deferred Placement Policy - Entrepreneurship,1.519097644,-0.65455826,0,0.359152389,1.519610171,0.167365444,0,0,1,7,1
Placement Cell â€“ IIT Bombay,4.434450184,0.720807753,0,0.117830518,4.430729425,-0.104696104,1,0,1,12,1
the Placement Policy of 2025-26.,-0.23011388,-0.47672891,0,0.10796704,-0.227061382,-0.600400433,0,0,0,13,0
1. Evaluation of Effective Composite Material Propeties,0.750362812,-0.447606045,1,0.157121338,0.176414394,-0.244324701,0,0,1,3,1
company at the earliest in writing with supporting proofs.,-0.23011388,-0.491548023,0,0.10796899,-0.227061382,-0.026176759,0,0,0,10,0
"inventions, designs, ideas, concepts, drawings, working notes, artistic works",-0.279512625,-0.161927753,0,0.133997616,-0.177454604,0.668223458,0,0,1,5,0
Placement Season 2025-26,7.349802724,0.266228795,0,0.423452061,7.341848679,0.195918021,1,0,1,1,1
selection procedure of the organization. The exceptional cases where contact sharing is,-0.23011388,-0.32112823,0,0.108497546,-0.227061382,0.940653687,0,0,1,5,0
ANNEXURE - 2,4.434450184,1.249693773,0,-6.34039151,4.430729425,-0.72294751,1,1,1,12,1
20. Applicable Law Â and Jurisdiction,3.269082442,-0.622735371,1,0.324668316,2.985235602,-0.463611219,0,0,1,9,1
Introduction,0.750362812,-0.447606045,1,0.180256843,0.176414394,-1.188549992,1,0,1,1,1
<10,-0.23011388,0.917718609,0,-0.005166812,-0.227061382,-1.365599674,0,0,1,5,0
1.â€‹ Placement Season,1.519097644,-0.65455826,0,0.309645045,1.519610171,-0.733494598,0,0,1,2,1
Dark Violation,-0.23011388,2.932800882,0,0.001218769,-0.227061382,-1.105235046,1,0,1,9,0
"Natural fibers have emerged as promising alternatives, offering renewable supply chains, lower embodied energy, and intrinsic biodegrad-",0.210471217,-0.323103965,0,0.059763659,-0.089929417,1.031194758,1,0,1,1,0
40,-0.23011388,1.187364981,0,-0.055833526,-0.227061382,-1.399307816,0,0,1,3,0
f.â€‹ Inter-Disciplinary Dual Degree students can sign the following JAFs :,-0.23011388,-0.513776692,0,0.203454865,-0.227061382,0.372050709,0,0,1,4,0
Student Placement Policy,7.349802724,0.373758562,0,0.096833091,7.341848679,0.070218995,1,0,1,1,1
resign.,-0.279512625,-0.161927753,0,0.133997616,-0.177454604,-1.844672913,0,0,0,7,0
"Please refer to the Deferred Placement Policy Document, announced separately in Annexure 1.",-0.23011388,-0.521186248,0,0.216499083,-0.227061382,0.991016509,1,0,0,7,0
required.,-0.279512625,-0.622735371,0,0.155284908,-0.177454604,-1.759588063,0,0,0,7,0
"than glass fiber, so the blade mass is less and less centrifugal force when rotating, this reduce stress at root. Bamboo also have good vibration",0.240156721,-0.447606045,0,0.055979489,-0.089929417,1.092121731,0,0,1,3,0
(Placement Season 2025-26),3.268309168,0.844401358,0,0.115494437,3.266281723,-0.252383885,0,0,1,13,1
case the Employer shall provide the Intern with advance notice of termination,-0.279512625,-0.161927753,0,0.133997616,-0.177454604,0.668728297,0,0,1,7,0
organizations that he/she has applied for and he/she will be de-registered from the placement,-0.23011388,-0.298899561,0,0.107971498,-0.227061382,0.929189906,0,0,1,4,0
Deferred Placement Policy for Entrepreneurship,3.268309168,0.194525449,0,0.117428598,3.266281723,0.507300743,1,0,1,11,1
1. Interpretation,3.269082442,-0.622735371,1,0.471181101,2.985235602,-1.347177893,0,0,1,2,1
13. Notices,3.269082442,-0.622735371,1,-5.358759031,2.985235602,-1.580695627,0,0,1,8,1
business time to the business affairs of the Company and shall perform the duties,-0.279512625,-0.622735371,0,0.15528745,-0.177454604,0.904993118,0,0,1,3,0
19. Paragraph headings,3.269082442,-0.622735371,1,0.324668316,2.985235602,-1.040889972,0,0,1,9,1
"Further, in case of any doubts, the Placement Office is entitled to question the candidate about their",-0.23011388,-0.65455826,0,0.222166363,-0.227061382,1.073510484,1,0,1,15,0
environmental impact of conventional blade materialsâ€”primarily glass or carbon fiber-reinforced compositesâ€”pose major challenges for,0.332777534,-0.447606045,0,0.055980223,-0.089945735,1.092927175,0,0,1,4,0
Open for the M.Tech./M.Sc. program of their own M.Tech./M.Sc. department and any of,-0.23011388,-0.098841543,0,-0.005166812,-0.227061382,0.759732676,1,0,1,4,0
"Pre-Placement Interview or is not selected after the interview, they shall remain eligible to",-0.23011388,-0.306309117,0,0.107969269,-0.227061382,0.935619097,1,0,1,7,0
"civil society organizations and providing perspectives and skills to students, necessary for",-0.23011388,-0.83238761,0,0.107978185,-0.227061382,1.240897136,0,0,1,13,0
"Abstractâ€”Wind energy continues to attract significant attention as a cost-effective and sustainable alternative to conventional power generation. In this work,",-1.099567038,-0.368368509,1,0.237925381,-0.87642856,1.054113799,1,0,1,1,1
bamboo wind turbine blade,7.864093915,-0.447606045,1,0.099101528,4.225025535,-0.380461,0,0,1,1,1
17.â€‹,1.519097644,-0.65455826,0,0.312096687,1.519610171,-1.354373788,0,0,1,10,1
"created. Any source code, software or other intellectual property developed,",-0.279512625,-0.161927753,0,0.133997616,-0.177454604,0.667446782,0,0,1,6,0
"Bamboo need little water and no pesticides. After blade life, bamboo composite can biodegrade or incinerate for energy. Glass fiber",0.357862953,-0.241956259,0,0.055979489,-0.089929417,0.980976429,1,0,1,2,0
25th July 2025,6.766732216,0.964865137,0,0.22430845,6.759624828,-0.618040708,0,0,1,1,0
7. Assignment,3.269082442,-0.622735371,1,0.429071605,2.985235602,-1.458140613,0,0,1,5,1
6,-0.23011388,2.329964922,0,-0.005166812,-0.227061382,-1.431409718,0,0,1,6,0
3. Bamboo Laminated Composite for Wind Blade,0.750362812,-0.447606045,1,0.157113265,0.176398076,-0.381086583,0,0,1,3,1
time.,-0.279512625,-0.161927753,0,0.133997616,-0.177454604,-1.901603259,0,0,0,4,0
Placement Cell â€“ IIT Bombay,4.434450184,0.720807753,0,0.117830448,4.430729425,-0.104696104,1,0,1,11,1
5. Conclusion,0.750362812,-0.447606045,1,0.165314788,0.176406235,-1.145047505,0,0,1,5,1
deadline for applicants to apply for deferral is the 25th of September.,-0.23011388,-0.387814236,0,0.10664969,-0.227061382,0.285228431,0,0,0,12,0
9.â€‹Deferred Placement Policy - Higher Studies,1.519097644,-0.65455826,0,0.413720443,1.519610171,0.066570371,0,0,1,7,1
Bamboo vs FRP Blade Performance,0.750362812,-0.424121317,1,0.165322617,0.176414394,-0.673647722,1,0,1,2,1
7.â€‹ Rules for Public Sector Undertakings visiting the campus before Day 1:,1.519097644,-0.65455826,0,0.301882208,1.519610171,1.027900831,0,0,1,7,1
Withdrawal of Placement Offer by the student,1.519097644,-0.298899561,0,-0.035766783,1.519610171,0.049882739,1,0,1,10,1
Category of 1,-0.23011388,-0.195165774,0,0.338754638,-0.227061382,-1.133036399,1,0,1,4,0
14.â€‹ Graded Penalty Structure,1.519097644,-0.65455826,0,0.279689539,1.519610171,-0.45601245,0,0,1,8,1
"Also, bamboo can be get localy in many country. It not need import from far, so that also reduce cost and fuel burn for transport. When",0.290803338,-0.323103965,0,0.055979244,-0.089945735,1.024350563,1,0,1,3,0
(Placement Season 2025-26),3.268309168,0.844401358,0,0.120981306,3.266281723,-0.252383885,0,0,1,14,1
"a.â€‹ In case the Employer terminates the Internship without just cause, in which",-0.279512625,-0.392331562,0,0.303375941,-0.177454604,0.788763564,0,0,1,7,0
depending on which the PSU may or may not allow the student to sit for Placements.,-0.23011388,-0.32112823,0,0.108499218,-0.227061382,0.698972729,0,0,0,7,0
15. Successors,3.269082442,-0.622735371,1,0.361885496,2.985235602,-1.404938109,0,0,1,8,1
5.â€‹ Off-Campus Application Rules,1.519097644,-0.65455826,0,0.533378912,1.519610171,-0.359592995,0,0,1,5,1
"The global transition toward clean energy has brought wind power to the forefront of sustainable development. However, the cost and",0.366208333,-0.449980393,0,0.101284576,-0.089945735,1.093391024,1,0,1,4,0
opportunity to sign these extra regular JAFs. Extra regular JAFs can be availed by abiding by,-0.23011388,-0.313718673,0,0.108499775,-0.227061382,0.937822545,0,0,1,3,0
â€‹,-0.279512625,-1.313946798,0,0.416689598,-1.13971703,-2.08158112,0,0,1,2,0
â€¢ High Streangh to Weight Ratio,0.28238359,-0.319667409,0,0.055979489,-0.089929417,-0.790146012,0,0,1,2,0
"activities, processes, inventions, designs or",-0.279512625,1.959707323,0,0.15528745,-0.177454604,-0.467315599,0,0,1,2,0
sign any new JAF. The student's name will also be removed from all other JAFs of organizations,-0.23011388,-0.47672891,0,0.107969269,-0.227061382,1.033410333,0,0,1,14,0
ð‘˜âˆ’ð‘§3,-2.525678112,1.895073304,0,-0.065379734,0.057100624,-1.349638366,0,0,1,5,0
13.â€‹ Participation Incentives,1.519097644,-0.65455826,0,0.32854406,1.519610171,-0.526762455,0,0,1,8,1
savings are critical as direct solar dryers needs to be transported according to the movement of sun.,0.28238359,-0.447606045,0,0.055979489,-0.089929417,0.356942447,0,0,0,3,0
(Placement Season 2025-26),3.268309168,0.844401358,0,0.115494437,3.266281723,-0.252383885,0,0,1,12,1
4.2.â€‹2nd Job Policy,0.352956628,-0.491548023,0,-6.784528882,0.355162469,-0.919161464,0,0,1,4,1
ANNEXURE â€“ 4,4.434450184,1.229852949,0,-6.610910603,4.430729425,-0.699754207,1,1,1,14,1
4.1.â€‹Regular JAFs,0.352956628,-0.491548023,0,0.162475467,0.355162469,-0.947488745,0,0,1,3,1
6.â€‹ Rules for Pre-Placement Offers (PPOs),1.519097644,-0.65455826,0,0.3176071,1.519610171,-0.055312711,0,0,1,6,1
(Placement Season 2025-26),3.268309168,0.844401358,0,0.115494437,3.266281723,-0.262015513,0,0,1,11,1
Physical Analysis of Bamboo for Wind Blades,0.750362812,-0.447606045,1,0.233729905,0.176410315,-0.4541118,1,0,1,3,1
8. Competing Businesses,3.269082442,-0.622735371,1,0.429071605,2.985235602,-0.933517557,0,0,1,5,1
organization offering PPO will also be informed accordingly.,-0.23011388,-0.32112823,0,0.107969269,-0.227061382,0.055132317,0,0,0,7,0
Placement Office | IIT Bombay | 13,-0.23011388,0.772099393,0,2.579825248,-0.227061382,-0.571596655,1,0,1,14,0
2. Position,3.269082442,-0.622735371,1,0.559665938,2.985235602,-1.606855347,0,0,1,3,1
16.â€‹,1.519097644,-0.65455826,0,0.312096687,1.519610171,-1.354373788,0,0,1,10,1
"Any terms and conditions, if applied by the organization offering the PPO, that deviates from",-0.23011388,-0.306309117,0,-0.005166812,-0.227061382,0.931724294,1,0,1,7,0
